phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
d͡ʒ,d͡ʒ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,74.57,75.07600000000002,FNiralee2_21,ADXA,21,F,t_0393852,TGT,stimuli_raw/wav/Mnirbhay2.wav,19,Mnirbhay2_19,ENG,71.29,70.85,M,Mnirbhay,ADXA,0.18227685396910712
d͡ʒ,d͡ʒ,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,58.29303,58.667680000000004,Mrajesh2_20,ADXA,20,M,t_0755042,TGT,stimuli_raw/wav/FNiralee1.wav,27,FNiralee1_27,ENG,220.37718999999998,219.92717000000002,F,FNiralee,ADXA,0.22407501585582837
d͡ʒ,d͡ʒ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,110.78631000000001,111.19,Mrajesh1_20,ADXA,20,M,t_0982362,TGT,stimuli_raw/wav/Fbhavya1.wav,19,Fbhavya1_19,ENG,152.18549,151.8021,F,Fbhavya,ADXA,0.19039620600422924
d͡ʒ,d͡ʒ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,69.84,70.31638000000001,FNiralee2_19,ADXA,19,F,t_0395005,TGT,stimuli_raw/wav/Mnirbhay2.wav,20,Mnirbhay2_20,ENG,74.32,73.9,M,Mnirbhay,ADXA,0.21167285096680463
d͡ʒʱ,d͡ʒʱ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,126.66433,127.06,Mrajesh1_27,ADXHA,27,M,t_0992084,TGT,stimuli_raw/wav/Fbhavya1.wav,25,Fbhavya1_25,HIN,193.47173999999998,193.03361,F,Fbhavya,ADXHA,0.24782757238306366
d͡ʒʱ,d͡ʒʱ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,93.5,94.09103,FNiralee2_25,ADXHA,25,F,t_0883474,TGT,stimuli_raw/wav/Mnirbhay1.wav,26,Mnirbhay1_26,HIN,169.23984,168.79,M,Mnirbhay,ADXHA,0.2287575172831385
d͡ʒʱ,d͡ʒʱ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,95.94,96.49,FNiralee2_26,ADXHA,26,F,t_0400829,TGT,stimuli_raw/wav/Mnirbhay2.wav,25,Mnirbhay2_25,HIN,97.87,97.37,M,Mnirbhay,ADXHA,0.17785770449275418
d͡ʒʱ,d͡ʒʱ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,93.5,94.09103,FNiralee2_25,ADXHA,25,F,t_0884434,TGT,stimuli_raw/wav/Mnirbhay1.wav,27,Mnirbhay1_27,HIN,171.28,170.7166,M,Mnirbhay,ADXHA,0.24569405164598987
d͡ʒʱ,d͡ʒʱ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,98.26682,98.82,FNiralee2_27,ADXHA,27,F,t_0400395,TGT,stimuli_raw/wav/Mnirbhay2.wav,25,Mnirbhay2_25,HIN,97.87,97.37,M,Mnirbhay,ADXHA,0.18366580610447522
d͡ʒʱ,d͡ʒʱ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,126.66433,127.06,Mrajesh1_27,ADXHA,27,M,t_1135574,TGT,stimuli_raw/wav/Fsakshi1.wav,26,Fsakshi1_26,HIN,101.99,101.56,F,Fsakshi,ADXHA,0.23020411525490703
g,g,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,26.4,26.96,FNiralee2_7,AGA,7,F,t_0382786,TGT,stimuli_raw/wav/Mnirbhay2.wav,8,Mnirbhay2_8,ENG,32.06,31.56,M,Mnirbhay,AGA,0.21014498222508976
g,g,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.630109999999995,Mrajesh1_9,AGA,9,M,t_0968055,TGT,stimuli_raw/wav/Fbhavya1.wav,8,Fbhavya1_8,ENG,58.61,58.22,F,Fbhavya,AGA,0.23533695279075864
g,g,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,26.4,26.96,FNiralee2_7,AGA,7,F,t_0864685,TGT,stimuli_raw/wav/Mnirbhay1.wav,9,Mnirbhay1_9,ENG,49.04,48.62,M,Mnirbhay,AGA,0.21287799203496968
g,g,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.630109999999995,Mrajesh1_9,AGA,9,M,t_0487302,TGT,stimuli_raw/wav/Fbhavya2.wav,8,Fbhavya2_8,ENG,31.77,31.39,F,Fbhavya,AGA,0.23206208946597262
g,g,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,31.150879999999997,31.74054000000001,FNiralee2_9,AGA,9,F,t_0862455,TGT,stimuli_raw/wav/Mnirbhay1.wav,7,Mnirbhay1_7,ENG,45.27,44.81,M,Mnirbhay,AGA,0.21880193787102573
