phone_1,phone_2,language_1,mean_dist,sd_dist,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
dʱ,ɾ,HIN,0.3349191750898074,0.02423398835009062,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,137.93788,138.28,Mrajesh2_49,ADHA,49,M,t_1030474,OTH,stimuli_raw/wav/FNiralee1.wav,73,FNiralee1_73,ENG,588.01231,587.54402,F,FNiralee,ARA,0.35205519258735224
dʱ,ʃ,HIN,0.3667804563020708,0.0340699678415927,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,176.12967,176.65,FNiralee2_50,ADHA,50,F,t_0909812,OTH,stimuli_raw/wav/Mrajesh1.wav,82,Mrajesh1_82,ENG,281.96,281.56431000000003,M,Mrajesh,AXA,0.342689351006473
dʱ,ɦ,HIN,0.33979798207512824,0.024872367771727355,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,141.48882,141.88,Mrajesh2_51,ADHA,51,M,t_0546111,OTH,stimuli_raw/wav/FNiralee2.wav,91,FNiralee2_91,ENG,357.75,357.27,F,FNiralee,AHHA,0.3573854019906824
dʱ,b,HIN,0.31584343054362063,0.023410784514114553,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,397.21643,397.74568999999997,FNiralee1_49,ADHA,49,F,t_0912160,OTH,stimuli_raw/wav/Mrajesh2.wav,61,Mrajesh2_61,ENG,169.35,168.97163,M,Mrajesh,ABA,0.33239735502644807
dʱ,d,HIN,0.27946570135471405,0.002443758200355654,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,401.58646,402.09008,FNiralee1_51,ADHA,51,F,t_0909444,OTH,stimuli_raw/wav/Mrajesh1.wav,46,Mrajesh1_46,ENG,180.13,179.71,M,Mrajesh,ADA,0.27773770335966236
dʱ,d͡ʒ,HIN,0.2995411772151623,0.05972172696803628,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,401.58646,402.09008,FNiralee1_51,ADHA,51,F,t_0907626,OTH,stimuli_raw/wav/Mrajesh1.wav,25,Mrajesh1_25,ENG,123.28,122.84,M,Mrajesh,ADXA,0.25731153909189236
dʱ,g,HIN,0.29941842105669886,0.03803295979032235,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,397.21643,397.74568999999997,FNiralee1_49,ADHA,49,F,t_0908326,OTH,stimuli_raw/wav/Mrajesh2.wav,9,Mrajesh2_9,ENG,30.62,30.301509999999997,M,Mrajesh,AGA,0.3263117848330311
dʱ,j,HIN,0.34307842586814075,0.01846696110094478,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,399.4068,399.89415,FNiralee1_50,ADHA,50,F,t_0427796,OTH,stimuli_raw/wav/Mrajesh2.wav,70,Mrajesh2_70,ENG,191.54,191.09,M,Mrajesh,AJA,0.33002031244575447
dʱ,kʰ,HIN,0.3211990757751161,0.01560216192812171,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,139.80311,140.11,Mrajesh2_50,ADHA,50,M,t_1027715,OTH,stimuli_raw/wav/FNiralee1.wav,5,FNiralee1_5,ENG,66.46534,65.94037,F,FNiralee,AKHA,0.3322314702756615
dʱ,l,HIN,0.3482350359275841,0.022118411304931276,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,137.93788,138.28,Mrajesh2_49,ADHA,49,M,t_0550693,OTH,stimuli_raw/wav/FNiralee2.wav,77,FNiralee2_77,ENG,313.95027000000005,313.51622000000003,F,FNiralee,ALA,0.3638751145503742
dʱ,m,HIN,0.34941475139417827,0.0030712221289308198,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,397.21643,397.74568999999997,FNiralee1_49,ADHA,49,F,t_0428641,OTH,stimuli_raw/wav/Mrajesh1.wav,68,Mrajesh1_68,ENG,241.05,240.72,M,Mrajesh,AMA,0.3472430694002811
dʱ,n,HIN,0.29928162927333457,0.031598939235073044,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,399.4068,399.89415,FNiralee1_50,ADHA,50,F,t_0428552,OTH,stimuli_raw/wav/Mrajesh1.wav,54,Mrajesh1_54,ENG,202.71,202.37083,M,Mrajesh,ANA,0.2769378050619128
