phone_X,language_X,AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,triplet_id,distance_OTH,phone_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,phone_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,sex_TGT,speaker_TGT,word_TGT
kʰ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,22.2458,22.8,FNiralee2_6,AKHA,6,F,t_0380070,0.304976195212941,dʱ,stimuli_raw/wav/Mrajesh2.wav,49,Mrajesh2_49,HIN,138.28,137.93788,M,Mrajesh,ADHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kʰ,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,t_0482266,0.356829112173884,ɖ,stimuli_raw/wav/FNiralee1.wav,35,FNiralee1_35,HIN,278.81684,278.36311,F,FNiralee,ADRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,22.591720000000002,22.99,Mrajesh2_6,AKHA,6,M,t_0965397,0.284952990683433,ɖʱ,stimuli_raw/wav/FNiralee2.wav,38,FNiralee2_38,HIN,135.24376,134.74537,F,FNiralee,ADRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,t_0379817,0.254960323489065,ɡʱ,stimuli_raw/wav/Mrajesh2.wav,11,Mrajesh2_11,HIN,36.21,35.80924,M,Mrajesh,AGHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,t_0965575,0.361908715552757,ɳ,stimuli_raw/wav/FNiralee2.wav,108,FNiralee2_108,HIN,409.81446999999997,409.34166,F,FNiralee,ANRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kʰ,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,t_0964777,0.326392595875836,ɽʱ,stimuli_raw/wav/FNiralee1.wav,104,FNiralee1_104,HIN,890.44296,889.96685,F,FNiralee,ARTHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,17.15,17.81,FNiralee2_4,AKHA,4,F,t_0861427,0.260862991052947,ʈʰ,stimuli_raw/wav/Mrajesh1.wav,32,Mrajesh1_32,HIN,140.09,139.68812,M,Mrajesh,ATRHA,0.241851866374307,kʰ,stimuli_raw/wav/Mnirbhay1.wav,6,Mnirbhay1_6,ENG,30.12,29.65,M,Mnirbhay,AKHA
l,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,609.55502,610.0154,FNiralee1_78,ALA,78,F,t_0453597,0.351954828106906,d͡ʒʱ,stimuli_raw/wav/Mrajesh2.wav,25,Mrajesh2_25,HIN,74.9988,74.65066,M,Mrajesh,ADXHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
l,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,609.55502,610.0154,FNiralee1_78,ALA,78,F,t_0454317,0.329633651988681,ɖʱ,stimuli_raw/wav/Mrajesh1.wav,39,Mrajesh1_39,HIN,156.52,156.13224,M,Mrajesh,ADRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
l,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,607.44483,607.8731799999998,FNiralee1_77,ALA,77,F,t_0935009,0.256601512269342,ɳ,stimuli_raw/wav/Mrajesh2.wav,106,Mrajesh2_106,HIN,284.58224,284.16595,M,Mrajesh,ANRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
l,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,267.46272,267.83,Mrajesh1_78,ALA,78,M,t_1066242,0.310870816008271,ɽʱ,stimuli_raw/wav/FNiralee2.wav,101,FNiralee2_101,HIN,388.05287,387.58306,F,FNiralee,ARTHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,187.55426,187.88,Mrajesh2_69,AMA,69,M,t_0571647,0.296100937284475,bʱ,stimuli_raw/wav/FNiralee1.wav,65,FNiralee1_65,HIN,497.37098,496.92613,F,FNiralee,ABHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,298.81,299.43,FNiralee2_72,AMA,72,F,t_0445110,0.388383474690813,d͡ʒʱ,stimuli_raw/wav/Mrajesh2.wav,26,Mrajesh2_26,HIN,76.80066,76.40547,M,Mrajesh,ADXHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
