phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
ɖ,tʰ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,100.21526,100.55,Mrajesh2_36,ADRA,36,M,t_1009020,OTH,stimuli_raw/wav/FNiralee2.wav,43,FNiralee2_43,ENG,151.6,151.1213,F,FNiralee,ATHA,0.2970091958670754
ɖ,t͡ʃʰ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,123.68566000000001,124.1817,FNiralee2_34,ADRA,34,F,t_0409660,OTH,stimuli_raw/wav/Mrajesh1.wav,18,Mrajesh1_18,ENG,106.35,105.91054,M,Mrajesh,ATXHA,0.3024927271279193
ɖʱ,b,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,295.78499,296.32082,FNiralee1_37,ADRHA,37,F,t_0419587,OTH,stimuli_raw/wav/Mrajesh2.wav,62,Mrajesh2_62,ENG,171.12,170.72062,M,Mrajesh,ABA,0.31202876638086297
ɖʱ,d͡ʒ,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,154.30132,154.69,Mrajesh1_38,ADRHA,38,M,t_0531548,OTH,stimuli_raw/wav/FNiralee1.wav,27,FNiralee1_27,ENG,220.37718999999998,219.92717000000002,F,FNiralee,ADXA,0.32143480381787537
ɖʱ,g,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,107.24923000000001,107.66,Mrajesh2_39,ADRHA,39,M,t_1011240,OTH,stimuli_raw/wav/FNiralee2.wav,9,FNiralee2_9,ENG,31.740540000000003,31.150879999999997,F,FNiralee,AGA,0.3044156519688379
ɖʱ,m,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,154.30132,154.69,Mrajesh1_38,ADRHA,38,M,t_1012709,OTH,stimuli_raw/wav/FNiralee1.wav,69,FNiralee1_69,ENG,528.44725,527.96823,F,FNiralee,AMA,0.32139949309406746
ɖʱ,ɾ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,137.22415,137.75,FNiralee2_39,ADRHA,39,F,t_0415386,OTH,stimuli_raw/wav/Mrajesh1.wav,74,Mrajesh1_74,ENG,256.69,256.26,M,Mrajesh,ARA,0.32099903285813375
ɖʱ,ʃ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,132.37637,132.9209,FNiralee2_37,ADRHA,37,F,t_0417238,OTH,stimuli_raw/wav/Mrajesh1.wav,83,Mrajesh1_83,ENG,283.76,283.33177,M,Mrajesh,AXA,0.29927500509252414
ɡʱ,b,HIN,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,34.12889000000001,34.52,Mrajesh2_10,AGHA,10,M,t_0973435,OTH,stimuli_raw/wav/FNiralee2.wav,61,FNiralee2_61,ENG,209.03307,208.52112,F,FNiralee,ABA,0.3114564098367094
ɡʱ,d,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,73.69,74.05,Mrajesh1_12,AGHA,12,M,t_0494742,OTH,stimuli_raw/wav/FNiralee2.wav,48,FNiralee2_48,ENG,165.19,164.70264,F,FNiralee,ADA,0.2915638867346026
ɡʱ,d͡ʒ,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,108.19187,108.69767,FNiralee1_12,AGHA,12,F,t_0384795,OTH,stimuli_raw/wav/Mrajesh1.wav,21,Mrajesh1_21,ENG,112.95,112.569,M,Mrajesh,ADXA,0.3206966584000318
ɡʱ,g,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,45.51187,46.101659999999995,FNiralee2_11,AGHA,11,F,t_0868268,OTH,stimuli_raw/wav/Mrajesh2.wav,8,Mrajesh2_8,ENG,28.97,28.58212,M,Mrajesh,AGA,0.2580536983713862
